Link,1296
Mr. Game and Watch,1405
Palutena,1316
R.O.B.,1323
Pokemon Trainer,1321
Ness,1313
Wolf,1337
Snake,1331
Joker,1453
Ike,1291
Ganondorf,1287
Cloud,1275
Inkling,1292
Hero,1526
Yoshi,1338
Banjo-Kazooie,1530
Sonic,1332
Bowser,1273
Lucina,1300
Zero Suit Samus,1341
Donkey Kong,1280
Robin,1324
Captain Falcon,1274
Pikachu,1319
Wario,1335
Lucas,1299
Pac-Man,1315
Terry,1532
Peach,1317
Roy,1326
Samus,1328
Bayonetta,1271
Young Link,1339
Mario,1302
Dark Pit,1278
Bowser Jr.,1272
Ridley,1322
Marth,1304
Chrom,1409
Piranha Plant,1441
Toon Link,1333
Zelda,1340
Byleth,1539
Jigglypuff,1293
Greninja,1289
Isabelle,1413
Sheik,1329
Mega Man,1305
Fox,1286
Daisy,1277
Dark Samus,1408
Luigi,1301
Mii Swordfighter,1414
Dr. Mario,1282
Pichu,1318
Mewtwo,1310
Richter,1412
Pit,1320
Little Mac,1297
Wii Fit Trainer,1336
Shulk,1330
Diddy Kong, 1279
King K. Rool,1407
Duck Hunt,1283
Ice Climbers,1290
King Dedede,1294
Olimar,1314
Kirby,1295
Corrin,1276
Falco,1285
Villager,1334
Mii Gunner,1415
Incineroar,1406
Meta Knight,1307
Lucario,1298
Rosalina,1325
Ken,1410
Mii Brawler,1311
Ryu,1327
Simon Belmont,1411
Random,1746
Min Min,1747
